"code","kingdom","phylum","class","order","family","subfamily","genus","specificEpithet","scientificNameAuthorship","taxonRank","scientificName","identificationReferences","establishmentMeans","degreeOfEstablishment","pathway"
"BB","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Bubas","bison","(Linnaeus, 1767)","species","Bubas bison","Edwards et al. 2015 | Zunino, 1974","introduced","established","releasedForUse"
"CE","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Copris","elphenor","Klug, 1855","species","Copris elphenor","Edwards et al. 2015","introduced","established","releasedForUse"
"CH","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Copris","hispanus","Linnaeus, 1764","species","Copris hispanus","Edwards et al. 2015","introduced","established","releasedForUse"
"DG","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Digitonthophagus","gazella","(Fabricius, 1787)","species","Digitonthophagus gazella","Edwards et al. 2015","introduced","established","releasedForUse"
"EA","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Euoniticellus","africanus","(Harold, 1873)","species","Euoniticellus africanus","Edwards et al. 2015 | Janssens 1953","introduced","established","releasedForUse"
"EF","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Euoniticellus","fulvus","(Goeze, 1777)","species","Euoniticellus fulvus","Edwards et al. 2015 | Janssens 1953","introduced","established","releasedForUse"
"EI","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Euoniticellus","intermedius","(Reiche, 1849)","species","Euoniticellus intermedius","Edwards et al. 2015 | Janssens 1953","introduced","established","releasedForUse"
"EP","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Euoniticellus","pallipes","(Fabricius, 1781)","species","Euoniticellus pallipes","Edwards et al. 2015 | Janssens 1953","introduced","established","releasedForUse"
"GS","Animalia","Arthropoda","Insecta","Coleoptera","Geotrupidae","Geotrupinae","Geotrupes","spiniger","Marsham, 1802","species","Geotrupes spiniger","Edwards et al. 2015","introduced","established","releasedForUse"
"HD","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Hamonthophagus","depressus","(Harold, 1871)","species","Hamonthophagus depressus","Matthews, 1972","introduced","established","transportStowaway"
"LM","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Liatongus","militaris","(Castelnau, 1840)","species","Liatongus militaris","Edwards et al. 2015","introduced","established","releasedForUse"
"OA","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","alexis","Klug, 1835","species","Onitis alexis","Edwards et al. 2015 | Ferreira 1978","introduced","established","releasedForUse"
"OY","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","aygulus","(Fabricius, 1781)","species","Onitis aygulus","Edwards et al. 2015 | Ferreira 1978","introduced","established","releasedForUse"
"OC","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","caffer","Boheman, 1857","species","Onitis caffer","Edwards et al. 2015 | Ferreira 1978","introduced","established","releasedForUse"
"OS","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","pecuarius","Lansberge, 1875","species","Onitis pecuarius","Edwards et al. 2015 | Ferreira 1978","introduced","established","releasedForUse"
"OL","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","vanderkelleni","Lansberge, 1886","species","Onitis vanderkelleni","Edwards et al. 2015","introduced","established","releasedForUse"
"OI","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onitis","viridulus","Boheman, 1857","species","Onitis viridulus","Edwards et al. 2015 | Ferreira 1978","introduced","established","releasedForUse"
"OB","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","binodis","Thunberg, 1818","species","Onthophagus binodis","Edwards et al. 2015","introduced","established","releasedForUse"
"OF","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","ferox","Harold, 1867","species","Onthophagus ferox","Matthews 1972","native","native",
"NZ","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","nigriventris","d'Orbigny, 1902","species","Onthophagus nigriventris","Edwards et al. 2015","introduced","established","releasedForUse"
"NQ","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","obliquus","(Olivier, 1789)","species","Onthophagus obliquus","Edwards et al. 2015","introduced","established","releasedForUse"
"NY","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","sagittarius","(Fabricius, 1781)","species","Onthophagus sagittarius","Edwards et al. 2015","introduced","established","releasedForUse"
"OT","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","taurus","(Schreber, 1759)","species","Onthophagus taurus","Edwards et al. 2015","introduced","established","releasedForUse"
"OV","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","vermiculatus","Frey, 1970","species","Onthophagus vermiculatus","Matthews 1972","native","native",
"SR","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Sisyphus","rubrus","Paschalidis, 1974","species","Sisyphus rubrus","Edwards et al. 2015","introduced","established","releasedForUse"
"SS","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Scarabaeinae","Sisyphus","spinipes","(Thunberg, 1818)","species","Sisyphus spinipes","Edwards et al. 2015","introduced","established","releasedForUse"
